iter	RMSE
0	588.0417831
1	573.923794
2	560.2366103
3	545.6376749
4	533.9363212
5	521.6425971
6	509.0594764
7	496.8179973
8	484.8616662
9	473.1668684
10	462.2506273
11	451.6360563
12	441.6058385
13	431.7322022
14	422.0626369
15	412.9322043
16	404.2693541
17	395.6998662
18	387.7752734
19	379.8325261
20	372.3709397
21	365.1184559
22	358.254514
23	351.3654145
24	345.6912871
25	339.6484892
26	333.5484546
27	327.506014
28	322.2102363
29	316.9610815
30	311.6321418
31	306.2563619
32	301.4673993
33	296.8534115
34	292.1835866
35	288.2868049
36	283.9197176
37	280.1740894
38	276.1991119
39	272.3366626
40	268.7205873
41	265.3685939
42	261.8434199
43	258.9405812
44	255.8585931
45	252.6832414
46	249.839475
47	247.4112247
48	244.7504033
49	242.2529544
50	239.8635912
51	237.8288959
52	235.5556914
53	233.4417163
54	231.1769529
55	229.1022684
56	227.2019316
57	224.9201839
58	222.6938104
59	220.9598154
60	219.1117534
61	217.3097467
62	215.394849
63	213.7346267
64	212.1121902
65	210.3483471
66	208.9784121
67	207.3256275
68	205.8475385
69	204.461172
70	203.0667513
71	201.5852339
72	200.316169
73	198.9935021
74	197.6651618
75	196.1835914
76	194.6955067
77	193.4733748
78	192.4142377
79	191.2426735
80	189.9119235
81	188.5711249
82	187.2171796
83	186.1972027
84	185.0818131
85	183.8818684
86	182.8863096
87	181.7613051
88	180.8286448
89	179.6524763
90	178.815069
91	177.9921107
92	177.3886227
93	176.2058861
94	175.0406612
95	174.0795168
96	173.2042839
97	172.4448827
98	171.6580094
99	171.2113217
100	170.4556048
101	169.7880151
102	168.8294953
103	168.2760609
104	167.3787262
105	166.3824588
106	165.3909768
107	164.3810413
108	163.6866855
109	162.8023434
110	161.8702471
111	161.3150775
112	160.5037471
113	159.875191
114	159.0644429
115	158.3067537
116	157.9057145
117	157.2946424
118	156.5456255
119	155.7486278
120	155.0348259
121	154.3372506
122	153.9780462
123	153.1256311
124	152.6279082
125	152.0357876
126	151.6300988
127	150.9835665
128	150.7181217
129	150.2244438
130	149.6075199
131	149.0542083
132	148.5582197
133	147.9243492
134	147.5568175
135	147.1125082
136	146.5483531
137	146.0344347
138	145.5749913
139	145.0457148
140	144.6237966
141	144.1851188
142	143.6583752
143	143.1287644
144	142.7528667
145	141.9954348
146	141.2847706
147	140.8599024
148	140.4951073
149	140.1525005
150	139.8480027
151	139.4427242
152	139.1164356
153	138.5210602
154	138.1877296
155	137.7494776
156	137.3072444
157	136.843461
158	136.4742095
159	135.9800998
160	135.4879353
161	134.9254509
162	134.2790745
163	133.9465649
164	133.4451508
165	132.8314526
166	132.1956576
167	131.6536154
168	130.9658469
169	130.5309573
170	130.3271682
171	129.985749
172	129.5045471
173	128.9855374
174	128.5701318
175	128.3049514
176	127.7933528
177	127.5093673
178	127.2946577
179	126.8764978
180	126.6521038
181	126.360778
182	125.9453436
183	125.6281831
184	125.3461833
185	124.7787493
186	124.3207736
187	123.9753278
188	123.4452437
189	123.0889515
190	122.8126623
191	122.3705205
192	121.9683565
193	121.6659389
194	121.2333818
195	120.8771611
196	120.4079061
197	120.1065754
198	119.8806726
199	119.5816506
200	119.1902123
201	118.9413592
202	118.5708422
203	118.225909
204	117.8632232
205	117.4430343
206	117.1318472
207	116.88703
208	116.6790205
209	116.2857537
210	115.8031906
211	115.5751074
212	115.2396271
213	114.7918031
214	114.5413605
215	114.3260988
216	113.9146849
217	113.4401932
218	113.054296
219	112.8392932
220	112.5060022
221	112.2754725
222	111.9611555
223	111.4885868
224	111.2010186
225	110.7657824
226	110.5373269
227	110.1993462
228	109.9311932
229	109.3729204
230	109.016212
231	108.5631202
232	108.3565739
233	108.0159046
