iter	Passed	Remaining
855	1317	529
856	1319	527
857	1320	526
858	1322	524
859	1323	523
860	1325	521
861	1326	520
862	1328	518
863	1329	517
864	1331	515
865	1332	514
866	1334	512
867	1335	510
868	1337	509
869	1339	507
870	1340	506
871	1342	504
872	1343	503
873	1345	501
874	1346	500
875	1348	498
876	1350	497
877	1352	495
878	1353	494
879	1355	492
880	1356	491
881	1358	489
882	1359	488
883	1361	486
884	1362	485
885	1364	483
886	1365	481
887	1367	480
888	1369	478
889	1370	477
890	1372	475
891	1373	474
892	1375	472
893	1376	471
894	1378	469
895	1379	468
896	1381	466
897	1382	465
898	1384	463
899	1386	462
900	1387	460
901	1389	458
902	1390	457
903	1392	455
904	1393	454
905	1395	452
906	1396	451
907	1398	449
908	1399	448
909	1401	446
910	1402	445
911	1404	443
912	1406	441
913	1407	440
914	1409	438
915	1410	437
916	1412	435
917	1413	434
918	1415	432
919	1416	431
920	1418	429
921	1419	428
922	1421	426
923	1422	425
924	1424	423
925	1426	421
926	1427	420
927	1429	418
928	1430	417
929	1432	415
930	1433	414
931	1435	412
932	1436	411
933	1438	409
934	1439	408
935	1441	406
936	1442	404
937	1444	403
938	1445	401
939	1447	400
940	1448	398
941	1450	397
942	1451	395
943	1453	394
944	1454	392
945	1456	391
946	1458	389
947	1459	387
948	1461	386
949	1462	384
950	1464	383
951	1465	381
952	1467	380
953	1468	378
954	1470	377
955	1471	375
956	1473	374
957	1474	372
958	1476	371
959	1477	369
960	1479	367
961	1480	366
962	1482	364
963	1484	363
964	1485	361
965	1487	360
966	1488	358
967	1490	357
968	1491	355
969	1493	354
970	1494	352
971	1496	350
972	1497	349
973	1500	348
974	1502	346
975	1504	345
976	1505	343
977	1507	342
978	1509	340
979	1511	339
980	1512	337
981	1514	336
982	1516	334
983	1518	333
984	1519	331
985	1521	330
986	1523	328
987	1524	327
988	1526	325
989	1528	324
990	1529	322
991	1531	321
992	1532	319
993	1534	317
994	1535	316
995	1537	314
996	1539	313
997	1540	311
998	1542	310
999	1543	308
1000	1545	307
1001	1546	305
1002	1548	304
1003	1549	302
1004	1551	300
1005	1552	299
1006	1554	297
1007	1555	296
1008	1557	294
1009	1558	293
1010	1560	291
1011	1561	290
1012	1563	288
1013	1564	287
1014	1566	285
1015	1567	283
1016	1569	282
1017	1570	280
1018	1572	279
1019	1573	277
1020	1575	276
1021	1577	274
1022	1578	273
1023	1580	271
1024	1581	270
1025	1583	268
1026	1584	266
1027	1586	265
1028	1587	263
1029	1589	262
1030	1591	260
1031	1592	259
1032	1594	257
1033	1595	256
1034	1597	254
1035	1598	253
1036	1600	251
1037	1601	249
1038	1603	248
1039	1604	246
1040	1606	245
1041	1607	243
1042	1609	242
1043	1610	240
1044	1612	239
1045	1613	237
1046	1615	236
1047	1617	234
1048	1618	232
1049	1620	231
1050	1621	229
1051	1623	228
1052	1624	226
1053	1626	225
1054	1628	223
1055	1629	222
1056	1631	220
1057	1632	219
1058	1634	217
1059	1635	216
1060	1637	214
1061	1638	212
1062	1640	211
1063	1641	209
1064	1643	208
1065	1644	206
1066	1646	205
1067	1647	203
1068	1649	202
1069	1651	200
1070	1652	199
1071	1654	197
1072	1655	195
1073	1657	194
1074	1658	192
1075	1660	191
1076	1661	189
1077	1663	188
1078	1664	186
1079	1666	185
1080	1668	183
1081	1669	182
1082	1671	180
1083	1672	178
1084	1674	177
1085	1675	175
1086	1677	174
1087	1678	172
1088	1680	171
1089	1681	169
1090	1683	168
1091	1685	166
1092	1686	165
1093	1688	163
1094	1689	162
1095	1691	160
1096	1692	158
1097	1694	157
1098	1695	155
1099	1697	154
1100	1698	152
1101	1700	151
1102	1701	149
1103	1703	148
1104	1704	146
1105	1706	145
1106	1708	143
1107	1709	141
1108	1711	140
1109	1712	138
1110	1714	137
1111	1715	135
1112	1717	134
1113	1718	132
1114	1720	131
1115	1721	129
1116	1723	128
1117	1724	126
1118	1726	124
1119	1727	123
1120	1729	121
1121	1730	120
1122	1732	118
1123	1734	117
1124	1735	115
1125	1737	114
1126	1738	112
1127	1740	111
1128	1741	109
1129	1743	107
1130	1744	106
1131	1746	104
1132	1747	103
1133	1749	101
1134	1751	100
1135	1752	98
1136	1754	97
1137	1755	95
1138	1757	94
1139	1758	92
1140	1760	91
1141	1761	89
1142	1763	87
1143	1764	86
1144	1766	84
1145	1767	83
1146	1769	81
1147	1770	80
1148	1772	78
1149	1773	77
1150	1775	75
1151	1777	74
1152	1778	72
1153	1780	70
1154	1781	69
1155	1783	67
1156	1784	66
1157	1786	64
1158	1787	63
1159	1789	61
1160	1790	60
1161	1792	58
1162	1793	57
1163	1795	55
1164	1797	53
1165	1798	52
1166	1800	50
1167	1801	49
1168	1803	47
1169	1804	46
1170	1806	44
1171	1807	43
1172	1809	41
1173	1810	40
1174	1812	38
1175	1813	37
1176	1815	35
1177	1816	33
1178	1818	32
1179	1820	30
1180	1821	29
1181	1823	27
1182	1824	26
1183	1826	24
1184	1827	23
1185	1829	21
1186	1831	20
1187	1832	18
1188	1834	16
1189	1835	15
1190	1837	13
1191	1838	12
1192	1840	10
1193	1841	9
1194	1843	7
1195	1844	6
1196	1846	4
1197	1847	3
1198	1849	1
1199	1850	0
